Motor & Equipment Manufacturers Association,MEMA,Motor vehicle and mobility suppliers and parts manufacturers and remanufacturers,"HS4_8707, 8708",https://www.mema.org/,"MEMA is the trade association for motor vehicle and mobility suppliers and parts manufacturers and remanufacturers. Our members supply both the original equipment and aftermarket segments of the light vehicle (car and truck) and commercial vehicle (on- and off-road) industries. MEMA serves the industry as the voice of the motor vehicle and mobility supplier industry, speaking out on behalf of the largest manufacturing sector in the United States.",,NA,"North Carolina (HQ), Washington DC and Michigan",info@mema.org,NA,NA,NA,NA,,,SI: pac,,"$2,500",$0,SI,"$160,000",,,,NA,NA,NA,NA,NA
National Electrical Manufacturers Association,NEMA,"Seven major U.S. markets: Building Systems, Building Infrastructure, Lighting Systems, Industrial Products & Systems, Utility Products & Systems, Transportation Systems, and Medical Imaging",,https://www.nema.org/,"Founded in 1926, NEMA is an ANSI-accredited Standards Developing Organization made up of business leaders, electrical experts, engineers, scientists, and technicians. NEMA convenes a neutral forum for Members to discuss industry-wide concerns and objectives under a legal umbrella by trained NEMA Staff.",,NA,"Arlington, VA",communications@nema.org,"Gene Eckhart
Madeleine Bugel","Director, International Trade
Senior Manager, International and Trade","gen_eckhart@nema.org
madeleine.bugel@nema.org",(703) 841-3204,"Cybersecurity and Data, Energy Policy, Environmental, Healthcare, Infrastructure, International Trade",,SI,"$4,500",$0,"$4,500",SI,"$465,000",,,,NA,"Septiembre 2021: Supply Chain Disruptions Affect Viability of U.S. Manufacturing Sector, https://www.nema.org/docs/default-source/advocacy-document-library/joint-association-supply-chain-white-paper.pdf?sfvrsn=1763ed3b_2",NEMAupdates,https://www.facebook.com/nemaupdates/,https://www.youtube.com/user/NEMAVue
Consumer Technology Association,CES,Tecnología,,https://www.cta.tech/,"CTA is the trade association representing the $505 billion U.S. consumer technology industry, which supports more than 18 million U.S. jobs.",,NA,"Arlington, VA",NA,NA,NA,NA,NA,"Accessibility, Artificial Intelligence, Audio and Video, Augmented and Virtual Reality, Automotive, Digital Health, Drones, Health and Fitness, Internet, Robotics, Smart Home, Sustainability, Tech for Good, Wireless and 5G",,SI: pac,"$100,400","$61,400","$39,000",SI,"$760,000",,,,NA,NA,CTATech,https://www.facebook.com/ConsumerTechnologyAssociation/,NA
Association of Home Appliance Manufacturers,AHAM,Home appliance industry,"HS4_8208,8509",https://www.aham.org/,"AHAM is the single voice providing the home appliance industry with leadership, advocacy and a forum for action in public policy, standards and business decisions. AHAM helps manufacturers bring efficient, high-performing home appliances into the homes of consumers",,NA,"Washington, DC",info@aham.org,Revisar,Revisar,Revisar,Revisar,NA,,SI: pac,-,$224,$500,SI,"$209,138",,,,NA,NA,AHAM_Voice,https://www.facebook.com/AHAMhome/,https://www.youtube.com/user/AHAMMEdia
Truck Engine Manufacturers Association,EMA,Manufacturers of internal combustion engines and on-highway medium- and heavy-duty trucks,,http://www.truckandenginemanufacturers.org/,"The Truck and Engine Manufacturers Association (EMA) represents worldwide manufacturers of internal combustion engines and on-highway medium- and heavy-duty trucks. EMA works with government and industry to help the nation achieve its goals of cleaner air and safer highways and to ensure that environmental and safety standards and regulations are technologically feasible cost-effective, and provide safety and environmental benefits.
Empresas: AGCO Corporation, American Honda Motor Co., Inc, Blue Bird Corporation, Briggs & Stratton Corporation, Caterpillar Inc., Cummins Inc., Daimler Truck North America LLC, Deere & Company, DEUTZ Corporation, Ford Motor Company, FPT Industrial, General Motors Company, Hino Motors Manufacturing USA, Inc., INNIO, Isuzu Technical Center of America, Inc., Kawasaki Motors Corp., USA, Komatsu Ltd., Kubota Engine America Corporation, Liebherr Machines Bulle SA, MAN Truck & Bus SE, Navistar, Inc., PACCAR Inc, Rolls-Royce Solutions America Inc., Scania CV AB, Stellantis N.V., Volkswagen of America, Inc., Volvo Group North America, Wärtsilä North America, Inc., Yanmar America Corporation",,28,"Chicago, IL",ema@emamail.org,Revisar,Revisar,Revisar,NA,"Truck and engine technology, emissions control and safety systems, engine and truck performance, fuel efficiency",,NO,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA
Semiconductor Industry Association,SIA,Semiconductores,,https://www.semiconductors.org/,The Semiconductor Industry Association (SIA) advances policies that help the industry grow and unites semiconductor companies around common challenges.,,NA,"Washington, DC",info@semiconductors.org,"Jimmy Goodrich
Rina Pal-Goetzen","Vice President, Global Policy
Director of Global Policy","jgoodrich@semiconductors.org
rpal-goetzen@semiconductors.org",NA,"Research, Trade, Domestic Manufacturing, Tax",,SI: pac,"$11,500","$9,000","$2,500",SI,"$385,000",,,,NA,"Mayo 2022: The 2022 SIA Factbook: Your Source for Semiconductor Industry Data, https://www.semiconductors.org/the-2022-sia-factbook-your-source-for-semiconductor-industry-data/
Septiembre 2021: State of the US Semiconductor Industry, https://www.semiconductors.org/wp-content/uploads/2021/09/2021-SIA-State-of-the-Industry-Report.pdf
Mayo 2021: Chipping In: The Positive Impact of the Semiconductor Industry on the American Workforce and How Federal Industry Incentives Will Increase Domestic Jobs, https://www.semiconductors.org/wp-content/uploads/2021/05/SIA-Impact_May2021-FINAL-May-19-2021_2.pdf 
Abril 2021: Strengthening the global semiconductor supply chain in an uncertaing area, https://www.semiconductors.org/strengthening-the-global-semiconductor-supply-chain-in-an-uncertain-era/ 
Septiembre 2020: Government Incentives and US Competitiveness in Semiconductor Manufacturing, https://www.semiconductors.org/wp-content/uploads/2020/09/Government-Incentives-and-US-Competitiveness-in-Semiconductor-Manufacturing-Sep-2020.pdf",SIAAmerica,https://www.facebook.com/SIAAmerica,https://www.youtube.com/user/SIAAmerica
Air Conditioning Heating and Refrigeration Institute,AHRI,"Residential and commercial air conditioning, heating, water heating, and commercial refrigeration equipment","HS4_8415,8418",https://www.ahrinet.org/home,The AHRI is the trade association representing manufacturers of HVACR and water heating equipment within the global industry.,,315,"Arlington, VA",NA,NA,NA,NA,NA,NA,,NO,NA,NA,NA,SI,"$290,455",,,,NA,NA,AHRIConnect,https://www.facebook.com/AHRIconnect?ref=sgm,https://www.youtube.com/user/AHRIcommunications
Advanced Medical Technology Association,Adva Med,Medical device manufacturers,,https://www.advamed.org/,"The Advanced Medical Technology Association (AdvaMed), is a trade association that leads the effort to advance medical technology in order to achieve healthier lives and healthier economies around the world.",,400,"Washington, DC",NA,NA,NA,NA,NA,"Global Affairs, Regulatory, Trade and Supply Chain, Device Repair, Coverage, Health Equity, Safety",,SI,"$68,006","$47,256","$20,750",SI,"$790,000",,,,NA,NA,AdvaMedUpdate,https://www.facebook.com/AdvaMed,https://www.youtube.com/user/AdvaMedUpdate
National Council of Textile Organizations,NCTO,Textil,"HS2_57,63",http://www.ncto.org/,"Association representing the entire spectrum of the textile sector. From fibers to finished products, from machinery manufacturers to power suppliers, NCTO is the voice of the U.S. textile industry.",,NA,"Washington, DC and North Carolina",NA,Sara Beatty,Senior Vice President,sbeatty@ncto.org <sbeatty@ncto.org>;,(202) 684-2999,"Trade Policy, Government Procurement, Regulatory",,SI: pac,"$40,000","$18,500","$21,500",NO,NA,,,,NA,NA,NCTO,https://www.facebook.com/NationalCouncilOfTextileOrganizations/,NA
American Apparel & Footwear Association,AAFA,"Apparel, footwear, accessory, and retail","HS2_61,62,64",https://www.aafaglobal.org/,"AAFA represent more than 1,000 world famous name brands, retailers, and manufacturers. AAFA is the trusted public policy and political voice of the apparel and footwear industry, its management and shareholders, its three million U.S. workers, and its contribution of more than $350 billion in annual U.S. retail sales.",,583,"Washington, DC and North Carolina",NA,Beth Hughes,"Vice President, Trade and Customs Policy",bhughes@aafaglobal.org,(202) 853-9353,"Brand Protection, Supply Chain and Sourcing, Trade Logistics and Manufacturing",,SI: pac,"$10,500","$10,500",$0,SI,"$155,193",,,,NA,NA,apparelfootwear,https://www.facebook.com/apparelandfootwear,https://www.youtube.com/user/apparelandfootwear
American Apparel Producers’ Network,AAPN,Apparel,"HS2_61,62",https://www.aapnetwork.net/,"AAPN is headquartered in Atlanta, Georgia, with members in North America, Mexico, the Caribbean, Central America, South America, Asia and Europe. Member companies and industry individuals who join come from the over 30 links ‘from the dirt to the shirt’ of the apparel supply chain.",,200,"Atlanta, GA",NA,"Sue C Strickland
Mike Todaro","Executive Director
Managing Director","sue@aapnetwork.net
miketodaro@me.com",404 843 3171,NA,,NO,NA,NA,NA,NA,NA,,,,NA,NA,AAPN,https://www.facebook.com/AAPNetwork,NA
Information Technology Industry Council,ITI,Tecnologia,,https://www.itic.org/,"The ITI is the premier global advocate for technology, representing the world’s most innovative companies. We promote public policies and industry standards that advance competition and innovation worldwide.",,NA,"Washington, DC and North Carolina",info@itic.org,"Husani Durans de Jesus
Megan Funkhouser","Senior Manager for the Americas
Senior Director of Policy, Tax and Trade",NA,NA,"Accessibility, Environment and Sustainability, Artificial Intelligence, Broadband Communications, & Spectrum, Coronavirus Response, Cybersecurity, Data & Privacy, Energy, Forced Localization, Immigration, Industry Standards, Internet Governance, Skills/STEM, Internet of Things, U.S. National Security Policymaking, Regulatory Compliance, Tax Policy, Trade & Investment",,SI,"$22,000","$12,500","$9,500",SI,"$650,000",,,,NA,NA,ITI_TechTweets,https://www.facebook.com/ITI.dc,https://www.youtube.com/channel/UCo4j-sW0ti0RiiXupgo2L_A
Fresh Produce Association of the Americas,FPAA,Mexican-grown fruits and vegetables,"HS2_07,08",https://www.freshfrommexico.com/,"Founded in Nogales, Arizona, in 1944, the Fresh Produce Association of the Americas has grown to become one of the most influential agricultural groups in the United States. Today, the FPAA provides a powerful voice for improvement and sustainability, serving the needs of more than 100 North American companies involved in the growth, harvest, marketing, import, and distribution of Mexican produce.",,NA,"Nogales, AZ",info@freshfrommexico.com,Georgina Felix Berrueto,Director of Operations & International Affairs,gfelix@freshfrommexico.com,NA,NA,,NO,NA,NA,NA,NA,NA,,,,NA,"Enero 2021: Inspections and Non-Tariff Barriers on “Perishable Imports” at the Mexico-US Border: Legal Limits and Best Practices, https://cdn.freshfrommexico.com/wp-content/uploads/2021/04/27174007/UofA-Trade-Lab-Trade-Barriers-Report-April-2021.pdf
Diciembre 2019: Examining Agricultural Support and Subsidies in the U.S. and Mexico, https://cdn.freshfrommexico.com/wp-content/uploads/2021/07/29161752/CRP-202001.pdf",FreshProduceAA,https://www.facebook.com/FreshProduceAA/,NA
U.S Grain Council,USGC,"Barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol","HS4_1003, 1005, 1007, 1104",https://grains.org/,"The U.S. Grains Council develops export markets for U.S. barley, corn, sorghum and related products including distiller’s dried grains with solubles (DDGS) and ethanol. With full-time presence in 28 locations, the Council operates programs in more than 50 countries and the European Union. The Council believes exports are vital to global economic development and to U.S. agriculture’s profitability.",,140,"Washington, DC and North Carolina",grains@grains.org.,"Andrew Brandt
Jordan Crowe","Director of Trade Policy
Trade Policy Coordinator","abrandt@grains.org 
jcrowe@grains.org",NA,"Innovation and Sustainability, Trade Policy,",,SI,$447,$422,$0,SI,$0,,,,NA,"Febrero 2022: Economic Impact Study of USDA Export Market Development Programs: Update of Previous 2016 “Economic Impact of USDA Market Development Programs”, https://usaedc.org/wp-content/uploads/2022/05/USGC-IHS-Markit-Cost-Benefit-Report-April-2022.pdf",USGC,https://www.facebook.com/usgrainscouncil,https://www.youtube.com/user/USGrainsCouncil
U.S. Dairy Export Council,USDEC,Dairy,"HS4 _0401,0402,0403,0404,0405,0406,0407,0408,0409",https://www.usdec.org/,"Non-profit, independent membership organization that represents the global trade interests of U.S. dairy producers, proprietary processors and cooperatives, ingredient suppliers and export traders.",,120,"Arlington, VA",NA,"Jaime Castaneda 
Shawna Morris
Tony Rice","Executive Vice President, Policy Development
Senior Vice President, Trade Policy
Manager, Trade Policy",NA,NA,NA,,NO,NA,NA,NA,NA,NA,,,,NA,NA,USDairyExporter,NA,NA
National Pork Producers Council,NPPC,Puercos,"HS6_ 020312, 020319, 020329, 020649, 020630, 021012, 160249, 160241, 020322, 020311, 021019, 020641, 020321, 021011, 160242",https://nppc.org/,"The NPPC works on behalf of an industry that reliably and responsibly brings high-quality pork to markets across the globe. Comprised of 42 affiliated state pork producer associations, NPPC fights for public policies, programs, and trade pacts that ensure the U.S. pork industry can continue to provide consumers with the world’s safest, most wholesome, and nutritious pork products.",,NA,"Urbandale, IA (HQ) and Washington, DC",news@nppc.org,Revisar,Revisar,Revisar,NA,"Trade, Animal Well-Being, Commerce, Energy & Environment",,SI,"$97,500","$47,500","$50,000",SI,"$630,000",,,,NA,"Julio 2022: The United States Pork Industry 2021: Current Structure and Economic Importance, https://nppc.org/wp-content/uploads/2022/07/2021-NPPC-Economic-Contribution-Report-FINAL.pdf",NPPC,https://www.facebook.com/NationalPorkProducersCouncil,https://www.youtube.com/channel/UCvhztsCuS7o5O-8YmT3cdfg
U.S Poultry and Egg Export Council,USAPEEC,Aves y huevos,"HS4_0105, 0207,0407,0408",https://www.usapeec.org/,"USAPEEC has evolved from an association whose major purpose was the promotion of U.S. poultry and egg products through its network of 14 international offices and consultants, to an organization that is an advocate for the industry on trade policy issues.",,NA,"Tucker, GA",usapeec@usapeec.org,"Garrett Borkhuis
Jim Sumner","Director Trade Policy
Trade Policy Advisor","gborkhuis@usapeec.org
jsumner@usapeec.org",NA,NA,,Lobbying profile,,,,,,,,,,NA,NA,https://www.facebook.com/USAPEECHQ/,https://www.youtube.com/channel/UCY-CCEYUiIudTcxA97llvqQ
Corn Refiners Association,CRA,"Corn refiners manufacture sweeteners, starch, advanced bioproducts, corn oil, and feed products from corn components such as starch, oil, protein, and fiber",,https://corn.org/,"National trade association representing a full 100% of the corn refining industry of the United States. CRA and its predecessors have served this important segment of American agribusiness since 1913. Corn refiners manufacture sweeteners, starch, advanced bioproducts, corn oil, and feed products from corn components such as starch, oil, protein, and fiber.",,7,"Washington, DC and North Carolina",NA,Michael Anderson,Vice President of Trade and Industry Affairs,NA,NA,"Food and Nutrition, Trade, Environmental Affairs, Sustainability, Transportation, Product Safety and Quality, Workplace Safety",,SI,"$10,977",$727,"$10,250",SI,"$180,000",,,,"10: North Dakota, Minnesota, Nebraska, Iowa, Missouri, Illinois, Indiana, Ohio, Tennessee, North Carolina",NA,CornRefiners,https://www.facebook.com/CornRefiners/,NA
National Corn Growers Association,NCGA,Corn growers,HS6_100590,https://www.ncga.com/,"Founded in 1957, the National Corn Growers Association represents nearly 40,000 dues-paying corn growers and the interests of more than 300,000 farmers who contribute through corn checkoff programs in their states. NCGA and its 50 affiliated state associations and checkoff organizations work together to help protect and advance corn growers’ interests.",,NA,"Chesterfield, MO",corninfo@ncga.com,Angus R. Kelly,"Director of Public Policy, Trade and Biotechnology",kelly@ncga.com,NA,"Ethanol, Sustainability, Trade, Animal Agriculture, Biotechnology, Carbon Markets, Consumer Engagement, Education, Farm Policy, High-Octane Low-Carbon, New Uses, Pollinators, Production, Research, Road to Recovery, Transportation and Infrastructure",,SI,"$151,600","$49,100","$102,000",SI,"$90,000",,,,27,NA,NationalCorn,https://www.facebook.com/corngrowers,https://www.youtube.com/user/nationalcorngrowers
American Soybean Association,ASA,Soybean,HS6_120190,https://soygrowers.com/,The American Soybean Association (ASA) represents U.S. soybean farmers on domestic and international policy issues important to the soybean industry.,,26 affiliated state associations representing 30 soybean-producing states,"St. Louis, MO",info@soy.org,Marypat Corbett,"WISHH-Director, Latin America Division & Special Projects Lead",mcorbett@soy.org,314-754-1343,"Trade, Biodiesel, Transportation and Infrastructure, Farm Policy, Biotechnology, Sustainability and Conservation, Regulatory",,SI,"$111,000","$38,000","$73,000",SI,"$196,117",,,,30,NA,ASA_Soybeans,https://www.facebook.com/AmericanSoybeanAssociation,https://www.youtube.com/user/americansoybeanassoc
U.S. Wheat Associates,USW,Wheat,"HS4_1001,1101,1109",https://www.uswheat.org/,"USW is the export market development organization for the U.S. wheat industry. USW works to help wheat buyers, millers, bakers, wheat food processors, and government officials understand the quality, value, and reliability of all six classes of U.S. wheat.",,NA,Arlington (HQ) and Portland,InfoARL@uswheat.org,"Dalton Henry
Shelbi Knisley","Vice President of Policy
Director of Policy","dhenry@uswheat.org 
sknisley@uswheat.org","(703) 650-0245
(571) 384-2844","Trade Negotiations, Trade Barriers, Innovation and Sustainability, Food Security and Assistance, Public-Private Partnership",,NO,NA,NA,NA,NA,NA,,,,17,NA,uswheatassoc,https://www.facebook.com/uswheat,NA
National Cattlemen’s Beef Association,NCBA,Beef,"HS4_0102, 0201, 0202",https://www.ncba.org/,"Marketing organization and trade association for America's one million cattle farmers and ranchers. NCBA is a consumer-focused, producer-directed organization representing the largest segment of the nation's food and fiber industry.",,NA,"Denver, CO and Washington, DC",NA,NA,NA,NA,NA,NA,,SI,"$381,650","$54,000","$327,650",SI,"$90,000",,,,NA,NA,BeefUSA,https://www.facebook.com/BeefUSA,https://www.youtube.com/user/Cattlementocattlemen
U.S. Meat Export Federation,USMEF,"Beef, Pork and Lamb","HS4_0102, 0103, 0104, 0201, 0202, 0203, 0204",https://www.usmef.org/,"USMEF has the most diverse membership of any trade association in the meat and livestock industry. USMEF represents beef/veal producers and feeders, pork producers and feeders, lamb producers and feeders, packers and processors, purveyors and traders, oilseeds producers, feedgrains producers, farm organizations and supply and service organizations.",,297,"Denver, CO",jschuele@usmef.org <jschuele@usmef.org>;,Jessica Spreitzer,Trade Analyst,jspreitzer@usmef.org,NA,NA,,NO,NA,NA,NA,NO,NA,,,,NA,NA,usmef,https://www.facebook.com/USMEF,https://www.youtube.com/channel/UCSN_plM7eAupIlMj5NtQtqg/featured
Avocados from Mexico,AFM,Avocado,HS6_080440,https://avocadosfrommexico.com/,NA,,NA,"Irving, Texas",info@avocadosfrommexico.com,"Stephanie Bazán
Alfonso Delgado","Vice President, Shopper and Trade Marketing
Associate Director, Trade Marketing","sbazan@avocadosfrommexico.com
adelgado@avocadosfrommexico.com",NA,NA,,NO,NA,NA,NA,NA,NA,,,,NA,NA,AvosfromMexico,https://www.facebook.com/avocadosfrommexico,https://www.youtube.com/user/MexicanAvocados
NASCO Network,NASCO,General,,https://www.nasconetwork.com/,Leading organization focused on the competitiveness of the North American supply chain and closing the skilled workforce gap,,NA,"Dallas, TX",info@nasconetwork.com,Francisco Martinez,"Vice President, Mexico Relations",NA,52 (81) 8114-7110,"Supply Chain and Logistics, Transportation, Environment, Energy, Workforce Skills Gap",,NO,NA,NA,NA,NA,NA,,,,NA,NA,NASCONetwork,NA,NA
Greater Houston Chamber of Commerce,NA,General,,https://www.greaterhoustonchamber.com/,NA,,NA,"Houston, TX",info@greaterhoustonchamber.com,NA,NA,NA,NA,NA,,NO,NA,NA,NA,NA,NA,,,,Texas,NA,NA,NA,NA
Seattle Metropolitan Chamber of Commerce,NA,General,,https://www.seattlechamber.com/,"The largest and most diverse business association in the region. Founded in 1882 by local business leaders, the Chamber today is an independent organization representing 2,500 companies and a regional workforce of approximately 750,000.",,2435,"Seattle, WA",NA,NA,NA,NA,NA,"Economic Recovery, Jobs and Economic Competitiveness, Transportation, Education and Workforce, Land Use and Housing",,NO,NA,NA,NA,NA,NA,,,,Washington,NA,seattlechamber,https://www.facebook.com/seattlebusiness,https://www.youtube.com/user/seattlemetrochamber
Los Angeles Area Chamber of Commerce,NA,General,,https://lachamber.com/,"The Los Angeles Area Chamber of Commerce represents the interests of a broad spectrum of organizations across the private, non-profit, academic and public sector, including the business community, job creators, and innovators in the Los Angeles region.",,1400,"Los Angeles, CA",info@lachamber.com,Patricia Torres Bruno,Senior Vice President/Chief of Public Policy,pbruno@lachamber.com,NA,"Education and Workforce Development, Energy Water and Environmental Sustainability, Government and Fiscal Affairs, Health Care",,NO,NA,NA,NA,SI,"$7,000",,,,California,NA,LAAreaChamber,https://www.facebook.com/LAAreaChamber,https://www.youtube.com/channel/UCV8TSNq28oZEQSPL_QWmQug
San Diego Regional Chamber of Commerce,NA,General,,https://sdchamber.org/,"The San Diego Regional Chamber of Commerce is the hub for connections and collaboration for the business community, and fights for its members and all the region’s businesses by supporting pro-business policies and candidates.",,2500,"San Diego, CA",NA,NA,NA,NA,NA,"Housing, Health Care, Veterans, Small Business",,NO,NA,NA,NA,SI,"$10,000",,,,California,NA,sdchamber,https://www.facebook.com/sdchamber,https://www.youtube.com/user/2012SDChamber/feed
